,Station,OBS Time,Lat,Lon,Current WX,Temperature (F),Wind (mph),peak_wind_gust,Real Feel Temperature,1 Hour Precipitation,WX Code,ptype,color,Time,Max Gust (mph),id,category,description_id,geom,x,y
89,GEZ,2023-02-16 23:46:00Z,39.5831,-85.8048,Rain,61.00,20.0,29.0,61.00,0.01,-RA,6.0,#169c2f,2023-02-17 00:00:00+00:00,29.0,,,,,-9551746.64361868,4805543.172491334
90,DBQ,2023-02-16 23:49:00Z,42.3984,-90.7091,Snow and/or Graupel,24.80,18.0,26.0,10.27,0.0001,-SN BR,1.0,#1f48cf,2023-02-17 00:00:00+00:00,26.0,,,,,-10097690.822316132,5220845.919134472
91,ESF,2023-02-16 23:50:00Z,31.3963,-92.2827,Rain with Thunderstorm,50.00,7.0,27.0,50.00,0.14,VCTS -RA,6.0,#169c2f,2023-02-17 00:00:00+00:00,27.0,,,,,-10272863.173028428,3684323.900551117
92,UGN,2023-02-16 23:51:00Z,42.4222,-87.8679,Snow and/or Graupel,30.00,19.0,31.0,16.79,0.0001,-SN BR,1.0,#1f48cf,2023-02-17 00:00:00+00:00,31.0,,,,,-9781409.885074284,5224434.272828981
93,ORD,2023-02-16 23:51:00Z,41.9875,-87.9319,Snow and/or Graupel,30.90,19.0,27.0,17.98,0.01,-SN BR,1.0,#1f48cf,2023-02-17 00:00:00+00:00,27.0,,,,,-9788534.332485052,5159107.1885415
94,IOW,2023-02-16 23:52:00Z,41.6394,-91.5445,Snow and/or Graupel,26.10,14.0,26.0,13.56,0.0001,-SN BR,1.0,#1f48cf,2023-02-17 00:00:00+00:00,26.0,,,,,-10190687.124924833,5107115.433253488
95,IRK,2023-02-16 23:52:00Z,40.0972,-92.5433,Snow and/or Graupel,26.60,8.0,28.0,17.46,0.0001,-SN BR,1.0,#1f48cf,2023-02-17 00:00:00+00:00,28.0,,,,,-10301873.032329153,4880077.188291713
96,PWK,2023-02-16 23:52:00Z,42.1208,-87.9047,Snow and/or Graupel,32.00,15.0,30.0,20.78,0.0001,-SN BR,1.0,#1f48cf,2023-02-17 00:00:00+00:00,30.0,,,,,-9785506.442335477,5179091.909185362
97,DPA,2023-02-16 23:52:00Z,41.9078,-88.2486,Unknown Precip,30.90,13.0,29.0,20.16,0.0001,UP,0.0,#707070,2023-02-17 00:00:00+00:00,29.0,,,,,-9823789.215219282,5147178.321221183
98,MKE,2023-02-16 23:52:00Z,42.9472,-87.8967,Snow and/or Graupel,28.90,22.0,36.0,14.43,0.05,SN BLSN,1.0,#1f48cf,2023-02-17 00:00:00+00:00,36.0,,,,,-9784615.886409128,5303938.5985906385
99,ESF,2023-02-16 23:53:00Z,31.3963,-92.2827,Rain with Thunderstorm,50.00,8.0,27.0,50.00,0.15,VCTS RA,6.0,#169c2f,2023-02-17 00:00:00+00:00,27.0,,,,,-10272863.173028428,3684323.900551117
